player_id,player_name,player_url,position,year,team,games_played,snap_count,snap_percent,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
9992437,Chase Edmonds,https://dynastyleaguefootball.com/player/9992437/Chase_Edmonds,RB,2021,ARI,12,475,57.6,117,600,2,53,43,311,0,1
9992437,Chase Edmonds,https://dynastyleaguefootball.com/player/9992437/Chase_Edmonds,RB,2022,DEN,12,273,34.4,59,200,2,24,16,157,1,0
9993306,Tyrion Davis-Price,https://dynastyleaguefootball.com/player/9993306/Tyrion_Davis-Price,RB,2022,SF,5,62,18.6,26,72,0,2,0,0,0,0
9992409,Malik Davis,https://dynastyleaguefootball.com/player/9992409/Malik_Davis,RB,2022,DAL,6,73,16.9,33,142,1,7,6,63,0,0
9992432,Nyheim Hines,https://dynastyleaguefootball.com/player/9992432/Nyheim_Hines,RB,2018,IND,16,499,43.9,85,314,2,81,63,425,2,0
9992432,Nyheim Hines,https://dynastyleaguefootball.com/player/9992432/Nyheim_Hines,RB,2019,IND,16,341,31.2,52,199,2,58,44,320,0,1
9992432,Nyheim Hines,https://dynastyleaguefootball.com/player/9992432/Nyheim_Hines,RB,2020,IND,16,391,35.8,89,380,3,77,64,482,4,0
9992432,Nyheim Hines,https://dynastyleaguefootball.com/player/9992432/Nyheim_Hines,RB,2021,IND,16,343,32.4,56,276,2,54,38,281,1,2
9992432,Nyheim Hines,https://dynastyleaguefootball.com/player/9992432/Nyheim_Hines,RB,2022,BUF,15,205,19.8,24,33,1,37,30,241,1,0
9993174,Kyren Williams,https://dynastyleaguefootball.com/player/9993174/Kyren_Williams,RB,2022,LAR,8,141,30.3,35,139,0,12,9,76,0,0
9992468,Zack Moss,https://dynastyleaguefootball.com/player/9992468/Zack_Moss,RB,2020,BUF,13,403,45.1,112,481,4,18,14,95,1,0
9992468,Zack Moss,https://dynastyleaguefootball.com/player/9992468/Zack_Moss,RB,2021,BUF,12,362,44.4,91,337,4,30,21,191,1,1
9992468,Zack Moss,https://dynastyleaguefootball.com/player/9992468/Zack_Moss,RB,2022,IND,12,207,26.1,75,342,0,10,8,32,0,1
9993243,Hassan Haskins,https://dynastyleaguefootball.com/player/9993243/Hassan_Haskins,RB,2022,TEN,13,140,17.9,23,90,0,10,9,44,0,0
9993529,Jordan Mason,https://dynastyleaguefootball.com/player/9993529/Jordan_Mason,RB,2022,SF,8,68,12.9,35,230,1,0,0,0,0,0
9993175,Deon Jackson,https://dynastyleaguefootball.com/player/9993175/Deon_Jackson,RB,2021,IND,3,16,8.3,13,31,1,0,0,0,0,0
9993175,Deon Jackson,https://dynastyleaguefootball.com/player/9993175/Deon_Jackson,RB,2022,IND,12,220,28.1,60,201,1,26,24,134,1,1
16776,Melvin Gordon,https://dynastyleaguefootball.com/player/16776/Melvin_Gordon,RB,2015,SD,14,396,38.7,184,641,0,37,33,192,0,4
16776,Melvin Gordon,https://dynastyleaguefootball.com/player/16776/Melvin_Gordon,RB,2016,SD,13,658,75.1,254,997,10,57,41,419,2,2
16776,Melvin Gordon,https://dynastyleaguefootball.com/player/16776/Melvin_Gordon,RB,2017,LAC,16,750,70.5,284,1105,8,83,58,476,4,0
16776,Melvin Gordon,https://dynastyleaguefootball.com/player/16776/Melvin_Gordon,RB,2018,LAC,12,524,69.2,175,885,10,66,50,490,4,0
16776,Melvin Gordon,https://dynastyleaguefootball.com/player/16776/Melvin_Gordon,RB,2019,LAC,12,433,54.3,162,612,8,55,42,296,1,3
16776,Melvin Gordon,https://dynastyleaguefootball.com/player/16776/Melvin_Gordon,RB,2020,DEN,15,627,62.0,215,986,9,44,32,158,1,4
16776,Melvin Gordon,https://dynastyleaguefootball.com/player/16776/Melvin_Gordon,RB,2021,DEN,15,488,51.4,191,809,7,37,27,207,2,2
16776,Melvin Gordon,https://dynastyleaguefootball.com/player/16776/Melvin_Gordon,RB,2022,DEN,10,284,41.8,90,318,2,32,25,223,0,2
9993588,Kevin Harris,https://dynastyleaguefootball.com/player/9993588/Kevin_Harris,RB,2022,NE,5,46,15.1,18,52,1,0,0,0,0,0
9993180,Raheem Blackshear,https://dynastyleaguefootball.com/player/9993180/Raheem_Blackshear,RB,2022,CAR,10,76,12.3,22,76,3,12,10,93,0,1
9993199,Justin Jefferson,https://dynastyleaguefootball.com/player/9993199/Justin_Jefferson,WR,2020,MIN,16,886,81.9,1,2,0,125,88,1400,7,0
9993199,Justin Jefferson,https://dynastyleaguefootball.com/player/9993199/Justin_Jefferson,WR,2021,MIN,16,968,88.6,5,10,0,160,103,1509,9,1
9993199,Justin Jefferson,https://dynastyleaguefootball.com/player/9993199/Justin_Jefferson,WR,2022,MIN,16,1043,95.1,4,24,1,179,124,1771,8,0
9992747,Ja'Marr Chase,https://dynastyleaguefootball.com/player/9992747/JaMarr_Chase,WR,2021,CIN,16,935,89.4,7,21,0,124,79,1429,13,1
